101	West Covina	West Covina	CA	1	2023-06-03 12:00:00.000
102	Carson	Carson	CA	1	2023-08-02 12:00:00.000
103	Downey	Downey	CA	1	2023-10-01 12:00:00.000
104	Gardena	Gardena	CA	1	2023-11-30 12:00:00.000
105	Whittier	Whittier	CA	1	2024-01-29 12:00:00.000
106	Montclair	Montclair	CA	1	2024-03-29 12:00:00.000
107	Bixby Knolls	Long Beach	CA	1	2024-05-28 12:00:00.000
108	Oxnard	Oxnard	CA	1	2024-07-27 12:00:00.000
109	Long Beach	Long Beach	CA	1	2024-09-25 12:00:00.000
110	Cerritos	Cerritos	CA	1	2024-11-24 12:00:00.000
111	El Segundo	El Segundo	CA	1	2025-01-23 12:00:00.000
112	Torrance	Torrance	CA	1	2025-03-24 12:00:00.000
113	Santa Barbara	Santa Barbara	CA	1	2025-05-23 12:00:00.000
114	Anaheim	Anaheim	CA	1	2025-07-22 12:00:00.000
115	Gardena South	Gardena	CA	1	2025-09-20 12:00:00.000
